"Calendar year","Donor code","Donor","Math expression"
"2012","MMR","Myanmar","1,745,615"
"2012","YEM","Yemen","1,717,543"
"2012","JAM","Jamaica","1,677,273"
"2012","BRN","Brunei Darussalam","1,668,197"
"2012","TKM","Turkmenistan","1,658,139"
"2012","BIH","Bosnia and Herzegovina","1,582,860"
"2012","KOS","Kosovo","1,558,580"
"2012","SUR","Suriname","1,553,386"
"2012","FLEM","Flemish Government","1,526,169"
"2012","MOZ","Mozambique","1,510,159"
"2012","BRB","Barbados","1,437,049"
"2012","UZB","Uzbekistan","1,422,779"
"2012","AND","Andorra","1,387,121"
"2012","LAO","Lao People's Democratic Republic","1,369,848"
"2012","BFA","Burkina Faso","1,289,244"
"2012","MLI","Mali","1,205,171"
"2012","PNG","Papua New Guinea","1,171,771"
"2012","PRK","Democratic People's Republic of Korea","1,151,300"
"2012","TZA","United Republic of Tanzania","1,129,840"
"2012","FJI","Fiji","1,096,458"
"2012","MNG","Mongolia","1,059,493"
"2012","PSE","State of Palestine","927,578"
"2012","NER","Niger","900,292"
"2012","DJI","Djibouti","840,947"
"2012","GMB","Gambia","817,042"
"2012","MDV","Maldives","774,836"
"2012","MNE","Montenegro","764,248"
"2012","ATG","Antigua and Barbuda","760,504"
"2012","WSM","Samoa","752,659"
"2012","MDG","Madagascar","727,066"
"2012","ABW","Aruba","657,110"
"2012","BLZ","Belize","643,488"
"2012","SLB","Solomon Islands","635,331"
"2012","MDA","Republic of Moldova","625,509"
"2012","SMR","San Marino","618,007"
"2012","COM","Comoros","589,834"
"2012","CPV","Cabo Verde","585,082"
"2012","GUY","Guyana","525,395"
"2012","SYC","Seychelles","497,023"
"2012","TJK","Tajikistan","491,440"
"2012","GNB","Guinea-Bissau","490,453"
"2012","KNA","Saint Kitts and Nevis","456,278"
"2012","MRT","Mauritania","452,823"
"2012","KGZ","Kyrgyzstan","448,446"
"2012","BTN","Bhutan","436,489"
"2012","CAF","Central African Republic","430,347"
"2012","VCT","Saint Vincent and the Grenadines","417,683"
"2012","SSD","South Sudan","390,509"
"2012","STP","Sao Tome and Principe","386,572"
"2012","VUT","Vanuatu","384,010"
"2012","ERI","Eritrea","349,725"
"2012","LCA","Saint Lucia","286,911"
"2012","DMA","Dominica","248,095"
"2012","GRD","Grenada","238,682"
"2012","TON","Tonga","237,911"
"2012","VAT","Holy See","190,374"
"2012","FSM","Micronesia (Federated States of)","178,656"
"2012","KIR","Kiribati","177,375"
"2012","NRU","Nauru","157,649"
"2012","TUV","Tuvalu","132,082"
"2012","COK","Cook Islands","121,717"
"2012","PLW","Palau","101,131"
"2012","PRI","Puerto Rico","85,458"
"2012","VGB","British Virgin Islands","48,428"
"2012","NIU","Niue","48,101"
"2012","FRO","Faroe Islands","45,187"
"2012","PYF","French Polynesia","15,528"
"2012","NCL","New Caledonia","14,325"
"2012","AIA","Anguilla","12,791"
"2012","CYM","Cayman Islands","9,196"
"2012","TKL","Tokelau","6,745"
"2012","SXM","Sint Maarten (Dutch part)","2,095"
